[2024-01-02T19:46:37.287+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.292+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.298+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.304+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.309+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.314+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.320+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.325+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.331+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.336+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.341+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.347+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.353+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.358+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.363+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.368+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.373+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.378+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.383+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.389+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.394+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.399+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.404+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.409+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.414+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.419+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.425+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.433+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.438+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.444+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.451+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.457+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.463+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.468+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.473+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.480+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.486+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.492+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
[2024-01-02T19:46:37.497+0000] {logging_mixin.py:154} INFO - found a duplicate record!: None
